NGÂN HÀNG TMCP QUÂN ĐỘI (MB BANK),,,,,,
SAO KÊ TÀI KHOẢN,,,,,,
Số tài khoản:,0123456789,,,,,
Từ ngày:,01/08/2026,Đến ngày:,31/08/2026,,,
,,,,,,
STT,Ngày giao dịch,Số tiền ghi nợ,Số tiền ghi có,Số dư,Nội dung chi tiết,Số tham chiếu
1,01/08/2026 08:15:22,,"15.000.000",25.000.000,NGUYEN VAN A chuyen tien gop von kinh doanh,FT26213000001
2,01/08/2026 09:30:00,"8.500.000",,16.500.000,Thanh toan tien hang dot 1 - Xuong may Minh Anh,FT26213000002
3,02/08/2026 10:05:11,,"450.000",16.950.000,TRAN THI B chuyen khoan thanh toan don hang #1023,FT26214000003
4,02/08/2026 14:20:45,,"1.200.000",18.150.000,LE VAN C tt don hang ao thun x3,FT26214000004
5,03/08/2026 07:00:00,"35.000",,18.115.000,GHTK phi van chuyen don GHTK123456,FT26215000005
6,03/08/2026 07:00:01,"35.000",,18.080.000,GHTK phi van chuyen don GHTK123457,FT26215000006
7,04/08/2026 16:40:00,"2.000.000",,16.080.000,META PLATFORMS thanh toan quang cao facebook,FT26216000007
8,05/08/2026 11:11:11,,"6.750.000",22.830.000,SHOPEE PAYOUT ky 01-04/08 don hang,FT26217000008
9,05/08/2026 11:12:00,"320.000",,22.510.000,Phi dich vu san Shopee ky 01-04/08,FT26217000009
10,06/08/2026 09:00:00,"3.000.000",,19.510.000,Tra tien thue kho thang 8,FT26218000010
11,07/08/2026 15:30:00,"150.000",,19.360.000,Hoan tien khach hang huy don #1019,FT26219000011
12,08/08/2026 10:00:00,"250.000",,19.110.000,Mua thung carton bao bi dong goi,FT26220000012
13,10/08/2026 09:45:00,,"5.400.000",24.510.000,GIAO HANG NHANH thanh toan COD ky 03-09/08,FT26222000013
14,12/08/2026 13:00:00,"550.000",,23.960.000,Thanh toan tien dien thang 7 EVN HANOI,FT26224000014
15,12/08/2026 13:05:00,"220.000",,23.740.000,FPT TELECOM cuoc internet thang 8,FT26224000015
16,15/08/2026 17:00:00,"4.000.000",,19.740.000,Tra luong nhan vien dong goi thang 8,FT26227000016
17,18/08/2026 10:30:00,,"2.300.000",22.040.000,PHAM D chuyen khoan mua hang,FT26230000017
18,20/08/2026 08:00:00,"5.000.000",,17.040.000,Nhap hang dot 2 - Xuong may Minh Anh,FT26232000018
19,22/08/2026 12:00:00,,"7.100.000",24.140.000,SHOPEE PAYOUT ky 05-18/08,FT26234000019
20,22/08/2026 12:01:00,"410.000",,23.730.000,Phi dich vu san Shopee ky 05-18/08,FT26234000020
21,25/08/2026 09:00:00,"11.000",,23.719.000,Phi SMS Banking thang 8,FT26237000021
22,25/08/2026 09:00:01,,"12.345",23.731.345,Tra lai tien gui thang 8,FT26237000022
23,27/08/2026 14:00:00,"350.000",,23.381.345,Nop thue GTGT TNCN quy 3 - Kho bac nha nuoc,FT26239000023
24,28/08/2026 18:00:00,"3.000.000",,20.381.345,NGUYEN VAN A rut tien chi tieu ca nhan,FT26240000024
25,30/08/2026 10:00:00,"890.000",,19.491.345,Mua may in tem nhiet cho shop,FT26242000025
26,31/08/2026 09:00:00,,"640.000",20.131.345,Hoang E gui tien,FT26243000026
,,,,,,
,Tổng cộng,"28.721.000","38.852.345",,,
